City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,puerto lempira,15.2667,-83.7667,27.82,76,100,5.22,HN,1715480449
329,andovoranto,-18.95,49.1,21.63,90,76,2.85,MG,1715480450
330,punta del este,-34.9667,-54.95,14.93,75,20,4.02,UY,1715480223
331,rongelap,11.1635,166.8941,27.5,81,90,6.95,MH,1715480450
332,kisangani,0.5167,25.2,23.02,82,33,1.48,CD,1715480450
333,severo-yeniseyskiy,60.3725,93.0408,2.54,92,45,4.02,RU,1715480450
334,port arthur,38.8,121.2667,20.12,53,4,4.62,CN,1715480451
335,port alfred,-33.5906,26.891,13.77,81,2,5.47,ZA,1715480451
336,sainte-rose,16.3324,-61.6979,27.02,78,20,1.54,GP,1715480451
337,syktyvkar,61.6764,50.8099,0.85,75,20,2.0,RU,1715480452
338,novaya igirma,57.1334,103.9112,15.5,72,100,4.38,RU,1715480452
339,perelyub,51.8667,50.3667,8.89,61,53,1.86,RU,1715480452
340,saposoa,-6.934,-76.7716,25.9,81,100,1.12,PE,1715480452
341,zhezqazghan,47.7833,67.7667,11.32,54,0,6.0,KZ,1715480452
342,kapa'a,22.0752,-159.319,25.99,80,75,6.17,US,1715480453
343,arish,31.1316,33.7984,19.39,79,69,2.14,EG,1715480453
344,trelew,-43.249,-65.3051,6.67,70,18,3.06,AR,1715480453
345,riversdale,18.1659,-76.9642,23.53,97,99,1.2,JM,1715480453
346,ashland,40.8167,-82.2665,11.3,91,9,3.79,US,1715480453
347,la passe,45.5549,-0.8967,16.9,94,100,5.36,FR,1715480454
348,liski,50.9841,39.5155,2.76,91,5,3.59,RU,1715480454
349,mhamid,29.82,-5.72,26.59,16,100,4.13,MA,1715480454
350,isiro,2.7739,27.616,20.25,78,28,1.37,CD,1715480454
351,kidal,18.4411,1.4078,31.53,8,3,6.7,ML,1715480454
352,santa maria,-29.6842,-53.8069,17.61,94,100,2.57,BR,1715480455
353,dundaga,57.5167,22.35,1.56,88,7,1.77,LV,1715480455
354,kilindoni,-7.9139,39.6668,26.83,78,22,6.03,TZ,1715480455
355,illizi,26.4833,8.4667,19.89,27,19,5.37,DZ,1715480455
356,fort mcmurray,56.7268,-111.381,13.77,38,0,6.17,CA,1715480455
357,bowen,-20.0167,148.2333,25.56,64,24,6.16,AU,1715480456
358,ulcinj,41.9294,19.2244,13.88,76,39,2.87,ME,1715480456
359,apatity,67.5641,33.4031,-3.52,91,39,1.73,RU,1715480456
360,kuala terengganu,5.3302,103.1408,31.97,70,20,1.54,MY,1715480456
